longitude,latitude,forecast_date,param,param_tag,54h,60h,66h,72h
90.25,26.75,14-09-2025,surface_area,surface,0,0,0,0
90.5,26.75,14-09-2025,surface_area,surface,0,0,0,0
90.75,26.75,14-09-2025,surface_area,surface,0,0,0,0
91,26.75,14-09-2025,surface_area,surface,0,0,0,0
91.25,26.75,14-09-2025,surface_area,surface,0,0,0,0
91.5,26.75,14-09-2025,surface_area,surface,0,0,0,0
91.75,26.75,14-09-2025,surface_area,surface,0,0,0,0
92,26.75,14-09-2025,surface_area,surface,0,0,0,0
88.75,28.25,14-09-2025,precipitation,tp,0.006759644,0.010910034,0.011764526,0.011856079
89,28.25,14-09-2025,precipitation,tp,0.00302124,0.008636475,0.008773804,0.008895874
89.25,28.25,14-09-2025,precipitation,tp,0.006484985,0.008605957,0.009277344,0.011047363
89.5,28.25,14-09-2025,precipitation,tp,0.002563477,0.005065918,0.005126953,0.006881714
89.75,28.25,14-09-2025,precipitation,tp,0.002807617,0.004425049,0.004714966,0.005096436
90,28.25,14-09-2025,precipitation,tp,0.004745483,0.007675171,0.008255005,0.008789063
90.25,28.25,14-09-2025,precipitation,tp,0.003265381,0.003692627,0.003952026,0.003997803
90.5,28.25,14-09-2025,precipitation,tp,0.002639771,0.003570557,0.003738403,0.004150391
90.75,28.25,14-09-2025,precipitation,tp,0.006240845,0.009567261,0.010314941,0.010894775
91,28.25,14-09-2025,precipitation,tp,0.003189087,0.004074097,0.004852295,0.005615234
91.25,28.25,14-09-2025,precipitation,tp,0.007522583,0.008956909,0.009506226,0.009780884
91.5,28.25,14-09-2025,precipitation,tp,0.008590698,0.012954712,0.013504028,0.014007568
91.75,28.25,14-09-2025,precipitation,tp,0.005218506,0.010299683,0.010665894,0.010772705
92,28.25,14-09-2025,precipitation,tp,0.005081177,0.006622315,0.006942749,0.007171631
88.75,28,14-09-2025,precipitation,tp,0.005569458,0.006454468,0.006576538,0.006896973
89,28,14-09-2025,precipitation,tp,0.002487183,0.003051758,0.004898071,0.005737305
89.25,28,14-09-2025,precipitation,tp,0.004272461,0.005249023,0.006500244,0.008010864
89.5,28,14-09-2025,precipitation,tp,0.006011963,0.007827759,0.008804321,0.010253906
89.75,28,14-09-2025,precipitation,tp,0.015625,0.019058228,0.02104187,0.02255249
90,28,14-09-2025,precipitation,tp,0.008041382,0.011886597,0.013442993,0.01637268
90.25,28,14-09-2025,precipitation,tp,0.015853882,0.023040771,0.027618408,0.028060913
90.5,28,14-09-2025,precipitation,tp,0.008010864,0.01133728,0.013931274,0.014526367
90.75,28,14-09-2025,precipitation,tp,0.007583618,0.010177612,0.010910034,0.011199951
91,28,14-09-2025,precipitation,tp,0.007034302,0.008895874,0.011367798,0.015716553
91.25,28,14-09-2025,precipitation,tp,0.009857178,0.012268066,0.01361084,0.014099121
91.5,28,14-09-2025,precipitation,tp,0.004867554,0.00579834,0.008331299,0.008728027
91.75,28,14-09-2025,precipitation,tp,0.00328064,0.006881714,0.010238647,0.010940552
92,28,14-09-2025,precipitation,tp,0.009948731,0.012649536,0.013763428,0.014602661
88.75,27.75,14-09-2025,precipitation,tp,0.009292603,0.010375977,0.01234436,0.012893677
89,27.75,14-09-2025,precipitation,tp,0.014602661,0.019638062,0.03135681,0.034439087
